image,image class,date,bar,baz,xgt,qgg,lux,wsg,yyz,drt,gox,foo,boz,fyt,lgh,hrt,juu,target
training-img/flower/flower_79.jpg,flower,2016-04-05,-13.797745783851203,1,132.24470875514425,-14.88801872201585,7059.592259225923,0.01876048427176777,-10.131641319644267,-3.3144816968633233,-19.637941490204533,24.774894872679127,0.07767576338893759,1,0,-144.07860601236203,367.97783427175216,134340.06407984282
training-img/boat/boat_10.jpg,boat,2017-12-29,1370.968440665586,0,-53.01039645589046,-0.24963812977973132,5404.074707470747,0.014199145171670324,-0.8406724667636857,-57.50518571816879,-0.4770054679143539,43.99330072046682,4.266039015301385,1,1,-169.23262914693413,215.09410422805132,167657.6245502007
training-img/airplane/airplane_94.jpg,airplane,2016-06-28,1240.6158630608575,1,318.1031698982324,25.234515650768653,6435.785062154563,0.014365620723305913,-4.984576044078693,-0.22209667357081647,-9.07895666537972,2.4448795468925297,1.0354869830071756,1,1,-220.3493511149105,220.02702572915751,157211.30269840566
training-img/boat/boat_79.jpg,boat,2017-05-31,1258.3685162996246,0,221.06882097920672,-5.604372923353575,4915.487848784878,0.02196747275212649,6.189879905830826,-0.7327254092473499,2.3243115749197933,19.29056461490825,0.2069482896028223,0,0,-246.892242645665,495.7296584727068,-47320.6048670479
training-img/llama/llama_25.jpg,llama,2018-03-29,307.45801891084375,0,259.11085621501456,2.89688727881775,5285.831301422142,0.014829706917609714,-7.544631713772271,-22.70189592112171,3.066920926551218,11.17130789926544,0.5304660563106567,1,0,-199.51048746793475,234.04711920728118,-85209.683793766
training-img/cake/cake_33.jpg,cake,2016-03-20,451.9831418310894,0,174.33881466493227,10.095626115150743,6640.632763276328,0.004285868126572022,18.09421843212276,-606.4451266589474,17.733977992228052,25.465547363929623,0.18560325192743696,0,0,-378.0518789851295,20.082792090371466,126100.52893298815
training-img/mountain/mountain_85.jpg,mountain,2017-11-13,486.4728069633007,1,14.124789604797044,11.223626325085533,5591.44104410441,0.016906969273744233,-11.374777403801719,-4.424514739624062,21.721544282267033,29.63190360259663,1.3768133226408497,0,0,-473.82718466515394,301.5270115967891,35304.4207761814
training-img/boat/boat_89.jpg,boat,2017-07-18,331.77407620783356,1,149.15828037992324,0.5119499234321859,4701.824482448244,0.01812089274957611,0.816621601956502,-6.75353400957124,-0.3312536172056232,44.36363327288437,0.4657365561381224,1,0,160.8049975168222,344.4064264422167,259923.64478024564
training-img/cartoon/cartoon_18.jpg,cartoon,2017-04-12,226.9609031736675,0,81.07929725358501,18.74312308842975,5667.941494149415,0.009698668536066933,12.728585611126231,-83.5096379968754,14.882527811935473,35.88508196612258,8.908963293655004,0,1,-231.326207487363,101.80776712726968,139155.76014308273
training-img/boat/boat_94.jpg,boat,2018-03-12,274.3335198674366,1,118.10806222008186,22.51705940097199,5442.324932493249,0.02507785422523592,9.288191995519606,-1549.9244520927261,12.681217368206795,30.028803353995325,1.9035917741573518,0,0,-369.15755611634165,633.3792606126742,85836.68818151379
